SR_VILLAGE,ROUND_NO,SCHEDULE_NO,SAMPLE,SECTOR,STATE_REGION,DISTRICT_CD,STRATUM_NO,SUB_STRAT_NO,SUB_ROUND_NO,SUB_SAMPLE_NO,FOD,HG_SB_NO,SSS_NO,SAMPLE_HH_NO,SR_NO_INFORMANT,RESPONSE_CODE,SURVEY_CD,REASON_CD,SRL_NO,ELE_NO,BLK,ROUND,ID_KEY
34361,71,252,2,1,275,14,14,4,1,1,0,1,2,1,2,1,1,,1,1,1,71,976537
34361,71,252,2,1,275,14,14,4,1,1,0,2,1,1,2,1,1,,1,1,1,71,976538
34361,71,252,2,1,275,14,14,4,1,1,0,1,1,1,1,1,1,,1,1,1,71,976539
34361,71,252,2,1,275,14,14,4,1,1,0,1,3,1,2,1,1,,1,1,1,71,976540
34361,71,252,2,1,275,14,14,4,1,1,0,1,2,2,1,1,1,,1,1,1,71,976541
43729,71,252,2,2,275,14,14,1,2,1,0,1,2,4,4,1,1,,1,1,1,71,976542
43729,71,252,2,2,275,14,14,1,2,1,0,1,3,1,1,1,1,,1,1,1,71,976543
43729,71,252,2,2,275,14,14,1,2,1,0,1,3,2,2,1,1,,1,1,1,71,976544
43547,71,252,2,2,275,14,48,1,1,1,0,1,1,1,2,1,1,,1,1,1,71,976545
43547,71,252,2,2,275,14,48,1,1,1,0,1,1,2,2,1,1,,1,1,1,71,976546
